Time,Channel B,Channel C
(us),(V),(V)

4.59399984,0.00000000,0.00000000
4.59599984,0.00000000,0.00000000
4.59799984,0.00000000,0.00000000
4.59999984,0.00000000,0.00000000
4.60199984,0.00000000,0.00000000
4.60399984,0.00000000,0.00000000
4.60599984,0.00000000,0.00000000
4.60799984,0.00000000,0.00000000
4.60999984,0.00000000,0.00000000
4.61199984,0.00000000,0.00000000
4.61399984,0.00000000,0.00000000
4.61599984,0.00000000,0.00000000
4.61799984,0.00000000,0.00000000
4.61999984,0.00000000,0.00000000
4.62199984,0.00000000,0.00000000
4.62399984,0.00000000,0.00000000
4.62599984,0.00000000,0.00000000
4.62799984,0.00000000,0.00000000
4.62999984,0.00000000,0.00000000
4.63199984,0.04321481,0.00000000
4.63399984,-0.04321481,0.00000000
4.63599984,0.00000000,0.00000000
4.63799984,0.00000000,0.00000000
4.63999984,0.00000000,0.00000000
4.64199984,0.00000000,0.00000000
4.64399984,0.00000000,0.00000000
4.64599984,0.00000000,0.00000000
4.64799984,0.00000000,0.00000000
4.64999984,0.00000000,0.00000000
4.65199984,0.00000000,0.00000000
4.65399984,0.00000000,0.00000000
4.65599984,0.00000000,0.00000000
4.65799984,0.00000000,0.00000000
4.65999984,0.00000000,0.00000000
4.66199984,0.00000000,0.00000000
4.66399984,0.04321481,0.00000000
4.66599984,0.00000000,0.00000000
4.66799984,0.00000000,0.00000000
4.66999984,0.00000000,0.00000000
4.67199984,0.00000000,0.00000000
4.67399984,0.00000000,0.00000000
4.67599984,0.00000000,0.00000000
4.67799984,0.00000000,0.00000000
4.67999984,0.00000000,0.00000000
4.68199984,0.00000000,0.00000000
4.68399984,0.04321481,0.00000000
4.68599984,0.00000000,0.00000000
4.68799984,0.00000000,0.00000000
4.68999984,0.00000000,0.00000000
4.69199984,0.00000000,0.00000000
4.69399984,0.00000000,0.00000000
4.69599984,0.00000000,0.00000000
4.69799984,0.00000000,0.00000000
4.69999984,0.00000000,0.00000000
4.70199984,0.00000000,0.00000000
4.70399984,0.00000000,0.00000000
4.70599984,0.00000000,0.00000000
